date,lat,lon,sst,source
2025-06-01,34.6042,127.2756,20.3186,KHOA_OPeNDAP
2025-06-02,34.6042,127.2756,19.407,KHOA_OPeNDAP
2025-06-03,34.6042,127.2756,19.8459,KHOA_OPeNDAP
2025-06-04,34.6042,127.2756,19.748,KHOA_OPeNDAP
2025-06-05,34.6042,127.2756,19.8869,KHOA_OPeNDAP
2025-06-06,34.6042,127.2756,19.0375,KHOA_OPeNDAP
2025-06-07,34.6042,127.2756,19.6114,KHOA_OPeNDAP
2025-06-08,34.6042,127.2756,20.4501,KHOA_OPeNDAP
2025-06-09,34.6042,127.2756,20.5608,KHOA_OPeNDAP
2025-06-10,34.6042,127.2756,20.2104,KHOA_OPeNDAP
2025-06-11,34.6042,127.2756,22.1907,KHOA_OPeNDAP
2025-06-12,34.6042,127.2756,22.1303,KHOA_OPeNDAP
2025-06-13,34.6042,127.2756,22.1253,KHOA_OPeNDAP
2025-06-14,34.6042,127.2756,21.7374,KHOA_OPeNDAP
2025-06-15,34.6042,127.2756,22.6325,KHOA_OPeNDAP
2025-06-16,34.6042,127.2756,21.0369,KHOA_OPeNDAP
2025-06-17,34.6042,127.2756,20.9612,KHOA_OPeNDAP
2025-06-18,34.6042,127.2756,21.8431,KHOA_OPeNDAP
2025-06-19,34.6042,127.2756,21.341,KHOA_OPeNDAP
2025-06-20,34.6042,127.2756,21.3449,KHOA_OPeNDAP
2025-06-21,34.6042,127.2756,21.3503,KHOA_OPeNDAP
2025-06-22,34.6042,127.2756,21.7067,KHOA_OPeNDAP
2025-06-23,34.6042,127.2756,23.3711,KHOA_OPeNDAP
2025-06-24,34.6042,127.2756,23.382,KHOA_OPeNDAP
2025-06-25,34.6042,127.2756,22.071,KHOA_OPeNDAP
2025-06-26,34.6042,127.2756,22.5606,KHOA_OPeNDAP
2025-06-27,34.6042,127.2756,23.5587,KHOA_OPeNDAP
2025-06-28,34.6042,127.2756,23.7304,KHOA_OPeNDAP
2025-06-29,34.6042,127.2756,24.5715,KHOA_OPeNDAP
2025-06-30,34.6042,127.2756,24.7246,KHOA_OPeNDAP
2025-07-01,34.6042,127.2756,25.2981,KHOA_OPeNDAP
2025-07-02,34.6042,127.2756,25.7772,KHOA_OPeNDAP
2025-07-03,34.6042,127.2756,25.1712,KHOA_OPeNDAP
2025-07-04,34.6042,127.2756,25.3083,KHOA_OPeNDAP
2025-07-05,34.6042,127.2756,25.7832,KHOA_OPeNDAP
2025-07-06,34.6042,127.2756,25.6608,KHOA_OPeNDAP
2025-07-07,34.6042,127.2756,26.601,KHOA_OPeNDAP
2025-07-08,34.6042,127.2756,25.8003,KHOA_OPeNDAP
