date,lat,lon,sst,source
2025-06-01,35.1796,129.0756,17.9041,KHOA_OPeNDAP
2025-06-02,35.1796,129.0756,17.9431,KHOA_OPeNDAP
2025-06-03,35.1796,129.0756,18.2897,KHOA_OPeNDAP
2025-06-04,35.1796,129.0756,17.6479,KHOA_OPeNDAP
2025-06-05,35.1796,129.0756,17.8271,KHOA_OPeNDAP
2025-06-06,35.1796,129.0756,17.4491,KHOA_OPeNDAP
2025-06-07,35.1796,129.0756,17.9352,KHOA_OPeNDAP
2025-06-08,35.1796,129.0756,18.5645,KHOA_OPeNDAP
2025-06-09,35.1796,129.0756,18.3749,KHOA_OPeNDAP
2025-06-10,35.1796,129.0756,18.8454,KHOA_OPeNDAP
2025-06-11,35.1796,129.0756,18.8162,KHOA_OPeNDAP
2025-06-12,35.1796,129.0756,17.9148,KHOA_OPeNDAP
2025-06-13,35.1796,129.0756,17.95,KHOA_OPeNDAP
2025-06-14,35.1796,129.0756,17.5103,KHOA_OPeNDAP
2025-06-15,35.1796,129.0756,18.9775,KHOA_OPeNDAP
2025-06-16,35.1796,129.0756,18.1009,KHOA_OPeNDAP
2025-06-17,35.1796,129.0756,18.5414,KHOA_OPeNDAP
2025-06-18,35.1796,129.0756,18.1811,KHOA_OPeNDAP
2025-06-19,35.1796,129.0756,18.4258,KHOA_OPeNDAP
2025-06-20,35.1796,129.0756,18.4983,KHOA_OPeNDAP
2025-06-21,35.1796,129.0756,18.5528,KHOA_OPeNDAP
2025-06-22,35.1796,129.0756,18.8313,KHOA_OPeNDAP
2025-06-23,35.1796,129.0756,20.5259,KHOA_OPeNDAP
2025-06-24,35.1796,129.0756,20.6917,KHOA_OPeNDAP
2025-06-25,35.1796,129.0756,19.1567,KHOA_OPeNDAP
2025-06-26,35.1796,129.0756,19.1461,KHOA_OPeNDAP
2025-06-27,35.1796,129.0756,19.8087,KHOA_OPeNDAP
2025-06-28,35.1796,129.0756,20.8489,KHOA_OPeNDAP
2025-06-29,35.1796,129.0756,20.6132,KHOA_OPeNDAP
2025-06-30,35.1796,129.0756,21.0545,KHOA_OPeNDAP
2025-07-01,35.1796,129.0756,21.6262,KHOA_OPeNDAP
2025-07-02,35.1796,129.0756,21.5766,KHOA_OPeNDAP
2025-07-03,35.1796,129.0756,21.5014,KHOA_OPeNDAP
2025-07-04,35.1796,129.0756,20.926,KHOA_OPeNDAP
2025-07-05,35.1796,129.0756,21.3541,KHOA_OPeNDAP
2025-07-06,35.1796,129.0756,21.7975,KHOA_OPeNDAP
2025-07-07,35.1796,129.0756,22.9888,KHOA_OPeNDAP
2025-07-08,35.1796,129.0756,23.9903,KHOA_OPeNDAP
2025-07-09,35.1796,129.0756,24.519,KHOA_OPeNDAP
2025-07-10,35.1796,129.0756,24.5204,KHOA_OPeNDAP
2025-07-11,35.1796,129.0756,24.2155,KHOA_OPeNDAP
2025-07-12,35.1796,129.0756,24.6869,KHOA_OPeNDAP
2025-07-13,35.1796,129.0756,23.949,KHOA_OPeNDAP
2025-07-14,35.1796,129.0756,24.5733,KHOA_OPeNDAP
2025-07-15,35.1796,129.0756,24.3626,KHOA_OPeNDAP
2025-07-16,35.1796,129.0756,23.4102,KHOA_OPeNDAP
2025-07-17,35.1796,129.0756,22.5106,KHOA_OPeNDAP
2025-07-18,35.1796,129.0756,22.5676,KHOA_OPeNDAP
2025-07-19,35.1796,129.0756,22.2919,KHOA_OPeNDAP
2025-07-20,35.1796,129.0756,23.4729,KHOA_OPeNDAP
2025-07-21,35.1796,129.0756,24.7362,KHOA_OPeNDAP
2025-07-22,35.1796,129.0756,25.3604,KHOA_OPeNDAP
2025-07-23,35.1796,129.0756,25.7554,KHOA_OPeNDAP
2025-07-24,35.1796,129.0756,25.562,KHOA_OPeNDAP
2025-07-25,35.1796,129.0756,25.8642,KHOA_OPeNDAP
2025-07-26,35.1796,129.0756,26.5816,KHOA_OPeNDAP
2025-07-27,35.1796,129.0756,26.7721,KHOA_OPeNDAP
2025-07-28,35.1796,129.0756,26.7039,KHOA_OPeNDAP
2025-07-29,35.1796,129.0756,26.854,KHOA_OPeNDAP
2025-07-30,35.1796,129.0756,26.8739,KHOA_OPeNDAP
2025-07-31,35.1796,129.0756,27.4982,KHOA_OPeNDAP
2025-08-01,35.1796,129.0756,27.9684,KHOA_OPeNDAP
2025-08-02,35.1796,129.0756,28.9941,KHOA_OPeNDAP
2025-08-03,35.1796,129.0756,28.1814,KHOA_OPeNDAP
2025-08-04,35.1796,129.0756,27.3243,KHOA_OPeNDAP
2025-08-05,35.1796,129.0756,27.0358,KHOA_OPeNDAP
2025-08-06,35.1796,129.0756,25.9253,KHOA_OPeNDAP
2025-08-07,35.1796,129.0756,25.2498,KHOA_OPeNDAP
2025-08-08,35.1796,129.0756,24.7581,KHOA_OPeNDAP
2025-08-09,35.1796,129.0756,24.8589,KHOA_OPeNDAP
2025-08-10,35.1796,129.0756,24.8997,KHOA_OPeNDAP
2025-08-11,35.1796,129.0756,24.4893,KHOA_OPeNDAP
